   68948 CCCCCCCC(=O)O[C@H]1/C(=C/C(=O)OC)CC2C[C@H]([C@@H](C)O)OC(=O)C[C@H](O)C[C@@H]3CCC[C@H](C[C@@H]4CCO[C@H](/C=C/C(C)(C)[C@]1(O)O2)O4)O |Protein kinase C alpha
   69054 CCCCCCCC(=O)O[C@H]1/C(=C/C(=O)OC)CC2C[C@H]([C@@H](C)O)OC(=O)C[C@@H](O)C[C@@H]3CCC[C@H](C[C@@H]4CCO[C@H](/C=C/C(C)(C)[C@]1(O)O2)O4)O |Protein kinase C alpha
   69134 CCCCCCCC(=O)O[C@H]1/C(=C/C(=O)OC)CC2C[C@H]([C@@H](C)O)OC(=O)C[C@H](O)CCO[C@H](C(C)(C)C)C[C@@H]3CCO[C@H](/C=C/C(C)(C)[C@]1(O)O2)O |Protein kinase C alpha
   83387 CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1.CS(=O)(=O) |Protein kinase C alpha
  115876 C[C@H](c1ccc2ccccc2c1)[C@H]1NC(=O)[C@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(C)(C)SSC[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(N)=O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CO)NC(=O)CNC1= |Tyrosine-protein kinase SRC
  114982 CC1(C)SSC[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]1NC(=O)[C@@H](N)Cc1ccc(O)cc |Tyrosine-protein kinase SRC
  115222 CC1(C)SSC[C@H](C(=O)N[C@@H](CCCN=C(N)N)C(N)=O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@@H]1NC(=O)[C@@H](N)Cc1ccc(O)cc |Tyrosine-protein kinase SRC
  115223 CC1(C)SSC[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]1NC(=O)[C@@H](N)Cc1ccc(O)cc |Tyrosine-protein kinase SRC
  115416 CC1(C)SSC[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](Cc2ccc3ccccc3c2)NC(=O)[C@H]1NC(=O)[C@@H](N)Cc1ccc(O)cc |Tyrosine-protein kinase SRC
  115540 CC[C@H](C)[C@H]1NC(=O)[C@H](N)CSSC[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](Cc2ccc(O)cc2)NC1= |Tyrosine-protein kinase SRC
  115557 CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H]1C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@H](Cc2ccccc2)C(=O)N[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(N)=O)CSSC1(C) |Tyrosine-protein kinase SRC
  115628 CC1(C)SSC[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]1NC(=O)[C@@H](N)Cc1ccc(O)cc |Tyrosine-protein kinase SRC
  115681 CC1(C)SSC[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]1 |Tyrosine-protein kinase SRC
  115716 CC(=O)N[C@@H]1C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@H](Cc2ccccc2)C(=O)N[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O)CSSC1(C) |Tyrosine-protein kinase SRC
  115833 C[C@H]1NC(=O)CNC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(C)(C)SSC[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O)NC(=O)[C@@H](Cc2ccccc2)NC1= |Tyrosine-protein kinase SRC
  115844 CC(=O)N[C@H]1C(=O)N[C@H](Cc2ccc3ccccc3c2)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@H](Cc2ccccc2)C(=O)N[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(N)=O)CSSC1(C) |Tyrosine-protein kinase SRC
  115843 C[C@@H](c1ccc2ccccc2c1)[C@H]1NC(=O)[C@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(C)(C)SSC[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(N)=O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CO)NC(=O)CNC1= |Tyrosine-protein kinase SRC
  115845 CC(=O)N[C@H]1C(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@H](Cc2ccccc2)C(=O)N[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(N)=O)CSSC1(C) |Tyrosine-protein kinase SRC
  115874 C[C@@H](c1ccc2ccccc2c1)[C@@H]1NC(=O)[C@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(C)(C)SSC[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(N)=O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CO)NC(=O)CNC1= |Tyrosine-protein kinase SRC
  115875 C[C@H](c1ccc2ccccc2c1)[C@@H]1NC(=O)[C@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(C)(C)SSC[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(N)=O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CO)NC(=O)CNC1= |Tyrosine-protein kinase SRC
  116098 CC1(C)SSC[C@H](C(=O)N[C@@H](CCCN=C(N)N)C(N)=O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]1NC(=O)[C@@H](N)Cc1ccc(O)cc |Tyrosine-protein kinase SRC
  116135 CC1(C)SSC[C@H](C(=O)N[C@@H](CCCCN)C(N)=O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]1NC(=O)[C@@H](N)Cc1ccc(O)cc |Tyrosine-protein kinase SRC
  116299 CC1(C)SSC[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(N)=O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]1NC(=O)[C@@H](N)Cc1ccc(O)cc |Tyrosine-protein kinase SRC
  116300 CC1(C)SSC[C@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(N)=O)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H]1 |Tyrosine-protein kinase SRC
  116367 CC(=O)N[C@@H]1C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@H](Cc2ccccc2)C(=O)N[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(N)=O)CSSC1(C) |Tyrosine-protein kinase SRC
  116448 CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H]1C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@H](Cc2ccccc2)C(=O)N[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O)CSSC1(C) |Tyrosine-protein kinase SRC
  129602 O=C1CC2O[C@H](O)C(O)C(O)C2OC(=O)c2cc(O)c(O)c(O)c2-c2c(O)c(O)c3oc(=O)c4c(c(O)c(O)c5oc(=O)c2c3c54)-c2c1cc(O)c(O)c2 |Protein kinase C (PKC)
  130279 O=C1OC2C3OC(=O)c4cc(O)c(O)c(O)c4-c4c(O)c(O)c5oc(=O)c6c(c(O)c(O)c7oc(=O)c4c5c76)-c4c(cc(O)c(O)c4O)C(=O)CC3O[C@H](O)C2OC(=O)c2cc(O)c(O)c(O)c2-c2c1cc(O)c(O)c2 |Protein kinase C (PKC)
  144848 O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCO[C@H](CNCc1ccccc1)CCn1cc2c2ccccc2 |Protein kinase C alpha
  144921 CN1CCN(C[C@@H]2CCn3cc(c4ccccc43)C3=C(C(=O)NC3=O)c3cn(c4ccccc34)CCO2)CC |Protein kinase C alpha
  144959 CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO |Protein kinase C gamma
  145186 O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCO[C@H](CN1CCCC1)CCn1cc2c2ccccc2 |Protein kinase C alpha
  145391 O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCO[C@H](CNS(=O)(=O)c1ccccc1)CCn1cc2c2ccccc2 |Protein kinase C alpha
  145394 NC[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO |Protein kinase C alpha
  145429 O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCO[C@H](CN1CCOCC1)CCn1cc2c2ccccc2 |Protein kinase C alpha
  145610 CNC[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO |Protein kinase C alpha
  169151 CN1CCOCCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCOCC |Protein kinase C alpha
  169152 O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCOCCN(CCO)CCOCCn1cc2c2ccccc2 |Protein kinase C alpha
  169223 CN1CCN(C)CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCN(C)CC |Protein kinase C alpha
  169857 CN1CCOCCOCCN(C)CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CC |Protein kinase C alpha
  169917 CN1CCOCCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCN(C)CC |Protein kinase C alpha
  169920 CN1CCCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCOCCOCC |Protein kinase C alpha
  169961 CN1CCN(C)CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CC |Protein kinase C alpha
  169981 CCN1CCOCCN(CC)CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCOCC |Protein kinase C alpha
  169987 CC(C)N1CCOCCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCOCC |Protein kinase C alpha
  169993 CCN1CCOCCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCOCC |Protein kinase C alpha
  170112 CN1CCOCCN(C)CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CC |Protein kinase C alpha
  170144 CCN1CCOCCOCCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CC |Protein kinase C alpha
  204512 [Br-].[Br-].c1cc2cc(c1)CNc1cc[n+](cc1)Cc1cccc(c1)C[n+]1ccc(cc1)NC |Choline kinase alpha
  204544 [Br-].[Br-].c1cc2cc(c1)CNc1cc[n+](cc1)Cc1ccc(cc1)C[n+]1ccc(cc1)NC |Choline kinase alpha
  204568 [Br-].[Br-].c1cc2cc(c1)C[n+]1ccc(cc1)NCc1ccc(cc1)CNc1cc[n+](cc1)C |Choline kinase alpha
  204571 [Br-].[Br-].c1cc2ccc1CNc1cc[n+](cc1)Cc1ccc(cc1)C[n+]1ccc(cc1)NC |Choline kinase alpha
  214708 CN1C(=O)C2=C(C1=O)c1cn(c3ccccc13)CCOCCOCCOCCn1cc2c2ccccc2 |Protein kinase C gamma
  214719 O=C1NC(=O)C2=C1c1cn(c3ncccc13)CCOCCOCCn1cc2c2cccnc2 |Protein kinase C gamma
  214751 O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCOCCOCCn1cc2c2cccnc2 |Protein kinase C gamma
  214753 O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCOCCOCCOCCOCCn1cc2c2ccccc2 |Protein kinase C gamma
  214795 O=C1NC(=O)C2=C1c1cn(c3ncccc13)CCOCCOCCOCCOCCn1cc2c2cccnc2 |Protein kinase C gamma
  214822 O=C1NC(=O)C2=C1c1cn(c3ncccc13)CCOCCOCCOCCn1cc2c2cccnc2 |Protein kinase C gamma
  214863 O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCOCCOCCOCCOCCOCCn1cc2c2ccccc2 |Protein kinase C gamma
  214952 O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCOCCOCCOCCn1cc2c2ccccc2 |Protein kinase C gamma
  214965 O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCOCCOCCn1cc2c2ccccc2 |Protein kinase C gamma
  214994 O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCOCCOCCOCCn1cc2c2cccnc2 |Protein kinase C gamma
  215035 O=C1NC(=O)C2=C1c1cn(c3ncccc13)CCOCCOCCOCCOCCOCCn1cc2c2cccnc2 |Protein kinase C gamma
  215150 CN1C(=O)C2=C(C1=O)c1cn(c3ncccc13)CCOCCOCCn1cc2c2ccccc2 |Protein kinase C gamma
  227523 NCCCC[C@@H]1NC(=O)c2cc([N+](=O)[O-])ccc2NCc2ccc(C(N)=O)cc2NC(=O)[C@H](CO)NC1= |Neurotrophic tyrosine kinase receptor type 3
  243884 CC(C)C[C@H]1NC(=O)[C@@H](CCCCN)NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](N)CSSC[C@H](C(=O)N[C@@H](CC(N)=O)C(=O)O)NC(=O)[C@H]2CCCN2C(=O)[C@H](C(C)C)NC(=O)[C@@H](CCC(N)=O)NC(=O)[C@H](Cc2c[nH]cn2)NC1= |Urokinase plasminogen activator surface receptor
  243885 CC(C)C[C@H]1NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](N)CSSC[C@H](C(=O)N[C@@H](CC(N)=O)C(=O)O)NC(=O)[C@H]2CCCN2C(=O)[C@H](C(C)C)NC(=O)[C@@H](CCC(N)=O)NC(=O)[C@H](Cc2c[nH]cn2)NC1= |Urokinase plasminogen activator surface receptor
  243883 CC(C)C[C@H]1NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](N)CSSC[C@H](C(=O)N[C@@H](CC(N)=O)C(=O)O)NC(=O)[C@H]2CCCN2C(=O)[C@H](CC(N)=O)NC(=O)[C@@H](CCC(N)=O)NC(=O)[C@H](Cc2c[nH]cn2)NC1= |Urokinase plasminogen activator surface receptor
  243911 CC(C)C[C@H]1NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](N)CSSC[C@H](C(=O)N[C@@H](CC(N)=O)C(=O)O)NC(=O)[C@H]2CCCN2C(=O)[C@H](C(C)C)NC(=O)[C@@H](CCC(N)=O)NC(=O)[C@H](Cc2c[nH]cn2)NC1= |Urokinase plasminogen activator surface receptor
  244223 CCCC[C@@H]1NC(=O)[C@@H](CC(N)=O)NC(=O)[C@@H](N)CSSC[C@@H](C(=O)N[C@@H](CC(N)=O)C(=O)O)NC(=O)[C@H]2CCCN2C(=O)[C@H](C(C)C)NC(=O)[C@@H](CCC(N)=O)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@@H](CC(C)C)NC1= |Urokinase plasminogen activator surface receptor
  244338 CC(C)C[C@H]1NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](CC(N)=O)NC(=O)[C@@H](N)CSSC[C@@H](C(=O)N[C@@H](CC(N)=O)C(=O)O)NC(=O)[C@H]2CCCN2C(=O)[C@H](C(C)C)NC(=O)[C@@H](CCC(N)=O)NC(=O)[C@H](Cc2c[nH]cn2)NC1= |Urokinase plasminogen activator surface receptor
  244339 CC(C)C[C@H]1NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](N)CSSC[C@H](C(=O)N[C@@H](CC(N)=O)C(=O)O)NC(=O)[C@H]2CCCN2C(=O)[C@H](C(C)C)NC(=O)[C@H](CO)NC(=O)[C@H](Cc2c[nH]cn2)NC1= |Urokinase plasminogen activator surface receptor
  305612 CC(=O)N[C@@H]1CSC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@@H](CO)NC1= |Receptor-histidine kinase AgrC
  305628 CC[C@H](C)[C@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](C)NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)CCCOc2ccc(C(=O)c3ccccc3)cc2)[C@@H](C)O)CSC(=O)[C@H](CCSC)NC1= |Receptor-histidine kinase AgrC
  305629 CC(C)C[C@H]1NC(=O)[C@H](CO)NC(=O)[C@@H](CO)NC(=O)[C@H](NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@@H](N)Cc2ccc(O)cc2)[C@@H](C)O)CSC(=O)[C@H](Cc2ccccc2)NC1= |Receptor-histidine kinase AgrC
  305703 CC[C@H](C)[C@@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@@H](N)Cc2ccc(O)cc2)[C@@H](C)O)CSC(=O)[C@@H](CCSC)NC1= |Receptor-histidine kinase AgrC
  305704 CC[C@H](C)[C@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](NC(C)=O)CSC(=O)[C@H](CCSC)NC1= |Receptor-histidine kinase AgrC
  305751 CC[C@H](C)[C@@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](C)NC(=O)[C@@H](NC(C)=O)CSC(=O)[C@@H](CCSC)NC1= |Receptor-histidine kinase AgrC
  305769 CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@@H](N)Cc2ccc(O)cc2)[C@@H](C)O)CSC(=O)[C@@H](CCSC)NC1= |Receptor-histidine kinase AgrC
  305770 CC[C@H](C)[C@@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@@H](N)Cc2ccc(O)cc2)[C@@H](C)O)CSC(=O)[C@@H](C)NC1= |Receptor-histidine kinase AgrC
  309084 CN(C)CC1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO |Inhibitor of nuclear factor kappa B kinase epsilon subunit
  331880 O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCCCCCCn1cc2c2ccccc2 |Serine/threonine-protein kinase PIM1
  331881 O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCCCCCCCn1cc2c2ccccc2 |Serine/threonine-protein kinase PIM1
  331884 O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCCCCCn1cc2c2ccccc2 |Serine/threonine-protein kinase PIM1
  331919 O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCCCCCCCCn1cc2c2ccccc2 |Serine/threonine-protein kinase PIM1
  331931 O=C1NC(=O)C2=C1c1cn(c3ccccc13)CCCCCCCCCCn1cc2c2ccccc2 |Serine/threonine-protein kinase PIM1
  333609 CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)OC([C@H](C)C[C@@H]2CC[C@@H](OC(=O)N(C)OC)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1 |Serine/threonine-protein kinase mTOR
  333742 CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@H](n3ncnn3)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1 |Serine/threonine-protein kinase mTOR
  333801 CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@H](n3cnnn3)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1 |Serine/threonine-protein kinase mTOR
  348435 CC[C@H](C)[C@H](NC(=O)[C@H](CS)NC(C)=O)C(=O)N[C@H]1Cc2ccc(cc2)NC(=O)CCC(=O)NCCCC[C@@H](C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)O)NC1= |Tyrosine-protein kinase SRC
  348464 CC[C@H](C)[C@H](NC(=O)[C@@H](CS)NC(C)=O)C(=O)N[C@H]1Cc2ccc(cc2)NC(=O)CCCCCCC(=O)NCCCC[C@@H](C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)O)NC1= |Tyrosine-protein kinase SRC
  348630 CC[C@H](C)[C@@H]1NC(=O)[C@H](CS)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2ccc(O)cc2)NC1= |Tyrosine-protein kinase SRC
  348725 CC[C@H](C)[C@@H]1NC(=O)[C@H](CS)NC(=O)CCC(=O)Nc2ccc(cc2)C[C@@H](C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2ccc(O)cc2)NC1= |Tyrosine-protein kinase SRC
  348986 CC[C@H](C)[C@H](NC(=O)[C@H](CS)NC(C)=O)C(=O)N[C@H]1Cc2ccc(cc2)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCCCN)NC1= |Tyrosine-protein kinase SRC
  358894 O=c1c2cccc3c2sn1CCNCCOc1cccc2nc(O)c-3nc1 |Cyclin-dependent kinase 4
  359099 O=c1c2cccc3c2sn1CCCCOc1cccc2nc(O)c-3nc1 |Cyclin-dependent kinase 4
  359144 O=c1c2cccc3c2sn1CCCCCOc1cccc2nc(O)c-3nc1 |Cyclin-dependent kinase 4
  359175 O=c1c2cccc3c2sn1CCCCCCOc1cccc2nc(O)c-3nc1 |Cyclin-dependent kinase 4
  359177 Oc1nc2cccc3c2nc1-c1cccc2c(O)n(nc12)CCN1CC[C@@H](C1)O |Cyclin-dependent kinase 4
  359178 C[C@@H]1C[C@H]2CN1CCn1nc3c(cccc3c1O)-c1nc3c(cccc3nc1O)O |Cyclin-dependent kinase 4
  370800 N#Cc1ncc2nc1OCCCCCOc1cc(OCc3ccccn3)c(Cl)cc1NC(=O)N |Serine/threonine-protein kinase Chk1
  370799 N#Cc1ncc2nc1OCCCCCOc1cc(OCc3cccnc3)c(Cl)cc1NC(=O)N |Serine/threonine-protein kinase Chk1
  370817 CNc1cc2c(cc1Cl)NC(=O)Nc1cnc(C#N)c(n1)OCCCCCO |Serine/threonine-protein kinase Chk1
