24793 O=C1CC[C@@]2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)[C@H]1O5 | 6-phospho-1-fructokinase
29611 C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)OC4OC(CO)C(O)C(O)C4O)[C@@H]2CC[C@]1(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)C3 | 6-phospho-1-fructokinase
35237 CO[C@@H](CC[C@H](C)[C@H]1O[C@@]23CC(OC(=O)C[C@H]([C@@H](C)O)OC(=O)C[C@](O)(O2)[C@H](C)CC3(C)C)[C@@H]1C)c1cccc(O)c1 | Protein kinase C alpha
70462 C=C(C)[C@@]12OC3(c4ccccc4)O[C@@H]1[C@@H]1C4O[C@]4(CO)[C@@H](O)[C@]4(O)C(=O)C(C)=C[C@H]4[C@@]1(O3)[C@H](C)[C@H]2OC(=O)/C=C/c1ccccc1 | Protein kinase C delta
70662 CC1=CC23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]2(O)[C@H]1OC(=O)c1ccccc1)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
93375 Oc1ccc2c3c1O[C@H]1c4[nH]c5ccccc5c4C[C@@]4(O)C(C2)N(CC2CC2)CCC314 | Serine/threonine-protein kinase mTOR
257000 O=C(O[C@H]1CCC23CCCC[C@H](C=C(CO)C[C@H]12)C3=O)c1ccccc1 | Protein kinase C alpha
256999 CC1=CC23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]2(O)[C@H]1O)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C alpha
257055 CC1=CC23CCCC[C@@H](C=C(CO)[C@@H](O)[C@]2(O)[C@H]1O)C3=O | Protein kinase C alpha
366544 O=C(NO)[C@H]1CC2(CC2)CN[C@@H]1C(=O)N1CCN2c3ccccc3CC2C1 | Receptor protein-tyrosine kinase erbB-2
476876 CCOC(=O)C[C@@H]1CC2=C(C(=O)c3ccccc3C2=O)C2(CCCC2)O1 | Serine/threonine-protein kinase AKT
490178 CO[C@@H]1C23C=CC(=O)C(O)=C2OC[C@]1(O)Cc1cc(O)c(O)cc13 | Tyrosine-protein kinase SRC
490179 CO[C@H]1C23C=CC(=O)C(O)=C2OC[C@]1(O)Cc1cc(O)c(O)cc13 | Tyrosine-protein kinase SRC
554053 O=C([O-])C(F)(F)F.Oc1cc2c(cc1O)[C@@H]1Cc3cc(O)c(O)cc3[C@H]3Cc4cc(O)c(O)cc4[N@@+]13CC2 | c-Jun N-terminal kinase 3
554121 COc1cc2c(cc1O)C[C@@H]1c3cc(O)c(O)cc3C[C@H]3c4cc(O)c(O)cc4CC[N@+]231.O=C([O-])C(F)(F)F | c-Jun N-terminal kinase 3
577629 Cc1cc(C)cc(NC(=O)N2CCC3(CCN(C(=O)CCCC[C@@H]4SC[C@@H]5NC(=O)N[C@H]45)C3)CC2)c1 | Protein tyrosine kinase 2 beta
602753 CNC(=O)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCC5(CC4)OCCO5)c3n2)cc1 | Serine/threonine-protein kinase mTOR
602818 CNC(=O)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCC5(CC4)OCCCO5)c3n2)cc1 | Serine/threonine-protein kinase mTOR
602819 CCNC(=O)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCC5(CC4)OCCO5)c3n2)cc1 | Serine/threonine-protein kinase mTOR
602820 O=C(NCCF)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCC5(CC4)OCCO5)c3n2)cc1 | Serine/threonine-protein kinase mTOR
602888 O=C(Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCC5(CC4)OCCO5)c3n2)cc1)NC1CC1 | Serine/threonine-protein kinase mTOR
602889 O=C(Nc1ccccc1)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCC5(CC4)OCCO5)c3n2)cc1 | Serine/threonine-protein kinase mTOR
602890 O=C(Nc1ccncc1)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCC5(CC4)OCCO5)c3n2)cc1 | Serine/threonine-protein kinase mTOR
602891 O=C(Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCC5(CC4)OCCO5)c3n2)cc1)Nc1cccnc1 | Serine/threonine-protein kinase mTOR
690661 COc1cc2c(cc1O)CCN[C@]21CS[C@H]2c3c(OC(C)=O)c(C)c4c(c3[C@@H](COC1=O)N1[C@@H](O)[C@@H]3Cc5cc(C)c(OC)c(O)c5[C@H]([C@H]21)N3C)OCO4 | Tyrosine-protein kinase SRC
707358 O=C1C[C@H]2CCC[C@]3(C[C@@H](C[C@@H](CCCCc4ccccc4)O3)OC(=O)C[C@H](CO)O1)O2 | Protein kinase C theta
737946 O=C1CCCC2=C1C1(CCCOC1)N=C(Nc1nc3ccccc3o1)N2 | Galactokinase
749760 O=C1CCCC2=C1C1(CCCCC1)NC(Nc1nc3ccccc3o1)=N2 | Galactokinase
771747 Cc1ccc(NC(=O)C2C3C=CC4(CN(Cc5cccnc5)C(=O)C24)O3)cc1F | Pyruvate kinase isozymes M1/M2
801383 Cc1cc(NC(=O)C2C3C(=O)N(CCC(C)C)C(C(=O)NCc4ccccc4)C34C=CC2(C)O4)no1 | MAP kinase ERK2
802494 CC12C=CC3(CN(Cc4ccccc4)C(=O)C3C1C(=O)NCc1ccco1)O2 | MAP kinase ERK2
817841 O=C1CCCC2=C1C1(CCOCC1)N=C(Nc1nc3ccccc3o1)N2 | Galactokinase
817876 CCC1CCC2(C1)N=C(Nc1nc3ccccc3o1)NC1=C2C(=O)CCC1 | Galactokinase
818584 C=C1C[C@@]23CCC4[C@@](C)(CCC[C@@]4(C)C(=O)OC)C2CC[C@]1(OC(C)=O)C3 | Serine-protein kinase ATM
822163 O=C1CCCC2=C1C1(CCSCC1)N=C(Nc1nc3ccccc3o1)N2 | Galactokinase
827956 CC(C)C12CN3CC(C(C)C)(CN(C1)C31C(=O)Nc3ccccc31)C2=O | MAP kinase ERK2
857240 O=C1CCCC2=C1C1(CCCC1)N=C(Nc1nc3cc(Br)ccc3o1)N2 | Galactokinase
858834 Oc1ccc2c3c1O[C@@H]1[C@@H](O)CC[C@]4(O)[C@H](C2)N(CC2CCC2)CC[C@@]314 | Pyruvate kinase isozymes M1/M2
861595 O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@@H]1O5 | Pyruvate kinase isozymes M1/M2
861773 O=C1CCCC2=C1C1(CCSC1)N=C(Nc1nc3ccccc3o1)N2 | Galactokinase
869271 CC1(C)CC2(CCCN3C(=O)CSC32)CCS1 | Pyruvate kinase isozymes M1/M2
896337 Cc1ccc2nc(NC3=NC4(CCCC4)C4=C(CCCC4=O)N3)oc2c1 | Galactokinase
897127 CC1CCC2(C1)N=C(Nc1nc3ccccc3o1)NC1=C2C(=O)CCC1 | Galactokinase
903477 CN1C[C@@H]2C(c3ccccc3)C3(c4ccc(C#N)cc4)CC2(C3)[C@H]1c1ccccc1 | MAP kinase ERK2
936603 C=C1C2CC[C@@]3(C)C(c4ccoc4)OC(=O)C[C@@]13OC1CC(O)C(C)(C)C(CC(=O)OC)[C@@]12C | MAP kinase ERK2
937245 O=C1CC(c2ccccc2)CC2=C1C1(CCCC1)N=C(Nc1nc3ccccc3o1)N2 | Galactokinase
938800 CC(C)c1cc2c(c(O)c1O)[C@@]13CCCC(C)(C)C1CC2OC3=O | Pyruvate kinase
945073 CC1(C)CC(=O)C2=C(C1)NC(Nc1nc3ccccc3o1)=NC21CCCC1 | Galactokinase
974805 O=C1CCCC2=C1C1(CCC1)N=C(Nc1nc3ccccc3o1)N2 | Galactokinase
974867 Cc1ccc2oc(NC3=NC4(CCCC4)C4=C(CCCC4=O)N3)nc2c1 | Galactokinase
981013 CC1(C)C(=O)[C@@H]2OC2[C@@]2(C)C1CC(O)[C@]1(C)C2CC[C@@]2(C)C(c3ccoc3)OC(=O)C3OC321 | MAP kinase ERK2
988450 CC1CC[C@@]23CCC4(C)[C@@]5(C)CCC6C(C)(C)C(=O)CC[C@@]6(C)C5C=C[C@@]4(OC2=O)C3C1C | MAP kinase ERK2
1005762 CCCn1cc([C@@H]2C[C@H]3CN(Cc4cccc(Cl)c4)C(=O)[C@]34CCCN24)c(C)n1 | MAP kinase ERK2
1011285 COc1cc2c(cc1OC)N1C(=O)CC(OCC(=O)O)C3C4CC5(CCN5C(=O)C4=O)C2C31 | Pyruvate kinase isozymes M1/M2
1016381 O=C1CCCC2=C1C1(CCCC1)N=C(Nc1nc3cc(Cl)ccc3o1)N2 | Galactokinase
1017797 O=C1CCCC2=C1C1(CCCC1)N=C(Nc1nc3cc(-c4ccccc4)ccc3o1)N2 | Galactokinase
1020219 CC1C(=O)OC2C(O)C34C5OC(=O)[C@@]3(OC3OC(=O)[C@H](O)[C@]34C(C(C)(C)C)C5O)[C@]12O | MAP kinase ERK2
1027237 CS(=O)(=O)O.O.Oc1ccc2c3c1O[C@H]1c4oc5ccccc5c4C[C@@]4(O)[C@@H](C2)N(CC2CC2)CC[C@]314 | Serine-protein kinase ATM
1028487 Cc1cccc(NC(=O)C2C(C(=O)O)C3C=CC2C32CC2)c1C | Pyruvate kinase isozymes M1/M2
1092901 CCOc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314 | 6-phospho-1-fructokinase
1204084 C/C=C(/C)C(=O)O[C@H]1C(C)=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]12O)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1283860 CC(C)=CC[C@@]12OC(C)(C)[C@@H]3C[C@@H](C=C4C(=O)c5c(O)cccc5O[C@]431)C2=O | Inhibitor of nuclear factor kappa B kinase beta subunit
1283861 CC(C)=CC[C@@]12OC(C)(C)[C@@H]3C[C@@H](C=C4C(=O)CC(C)O[C@]431)C2=O | Inhibitor of nuclear factor kappa B kinase beta subunit
1283855 CC(C)=CCc1c(O)cc2c(c1O)C(=O)C1=C[C@@H]3C[C@H]4C(C)(C)O[C@@](CC=C(C)C)(C3=O)[C@@]14O2 | Inhibitor of nuclear factor kappa B kinase beta subunit
1283854 CC(C)=CCc1c(O)cc(O)c2c1O[C@]13C(=C[C@@H]4C[C@H]1C(C)(C)O[C@@]3(CC=C(C)C)C4=O)C2=O | Inhibitor of nuclear factor kappa B kinase beta subunit
1283857 CC(C)=CCc1cc(C2=CC(=O)C3=C[C@@H]4C[C@H]5C(C)(C)O[C@@](CC=C(C)C)(C4=O)[C@@]35O2)ccc1O | Inhibitor of nuclear factor kappa B kinase beta subunit
1283856 CC(C)=CC[C@@]12OC(C)(C)[C@@H]3C[C@@H](C=C4C(=O)C=C(c5ccccc5)O[C@]431)C2=O | Inhibitor of nuclear factor kappa B kinase beta subunit
1283859 CC(C)=CC[C@@]12OC(C)(C)[C@@H]3C[C@@H](C=C4C(=O)c5ccccc5O[C@]431)C2=O | Inhibitor of nuclear factor kappa B kinase beta subunit
1382793 CC1CC2CC(=O)C3CCCN4CCCC2[C@]34C1.[O-][Cl+3]([O-])([O-])O | MAP kinase ERK2
1523181 C=C(C)[C@H]1CC[C@]2(C)[C@@H]([N+](=O)[O-])CC[C@@]23C(=O)O[C@@H]1[C@@H]3O | c-Jun N-terminal kinase, JNK
1541948 C[C@@H]1C2C3=CC[C@@H]4[C@]56CC[C@@](O)(OC5)C(C)(C)[C@@H]6CC[C@@]4(C)[C@]3(C)CC[C@@]2(C(=O)O)CC[C@H]1C | Casein kinase II
1541954 C/C=C(/C)C(=O)O[C@@H]1CC(C)(C)CC2C3=CC[C@@H]4[C@]56CC[C@@](O)(OC5)C(C)(C)[C@@H]6CC[C@@]4(C)[C@]3(C)CC[C@]21C(=O)O | Casein kinase II
1560567 CC(=O)Nc1ccc(CCCC[C@@H]2C[C@@H]3C[C@@]4(O[C@H](CCC4(C)C)CC(=O)O[C@@H](CO)CC(=O)O3)O2)cc1O | Protein kinase C delta
1560569 CC1(C)CC[C@@H]2CC(=O)O[C@@H](CO)CC(=O)O[C@@H]3C[C@@H](CCCCc4cc(O)c(Br)cc4Br)O[C@@]1(C3)O2 | Protein kinase C delta
1560570 CC1(C)CC[C@@H]2CC(=O)O[C@@H](CO)CC(=O)O[C@@H]3C[C@@H](CCCCc4c(Br)cc(Br)c(O)c4Br)O[C@@]1(C3)O2 | Protein kinase C delta
1560571 CC1(C)CC[C@@H]2CC(=O)O[C@@H](CO)CC(=O)O[C@@H]3C[C@@H](CCCCc4ccc(I)c(O)c4)O[C@@]1(C3)O2 | Protein kinase C delta
1560573 COc1cccc(CCCC[C@@H]2C[C@@H]3C[C@@]4(O[C@H](CCC4(C)C)CC(=O)O[C@@H](CO)CC(=O)O3)O2)c1 | Protein kinase C delta
1560572 CC1(C)CC[C@@H]2CC(=O)O[C@@H](CO)CC(=O)O[C@@H]3C[C@@H](CCCCc4cc(O)ccc4I)O[C@@]1(C3)O2 | Protein kinase C delta
1563925 CCCOc1c2cc(CCCn3cc(CCO[C@H]4O[C@H](CO)[C@H](O)C5=C4SC[C@]4(C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO)O4)O5)nn3)cc1Cc1cc(CCCn3cc(CCO[C@H]4O[C@H](CO)[C@H](O)C5=C4SC[C@]4(C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO)O4)O5)nn3)cc(c1OCCC)Cc1cc(CCCn3cc(CCO[C@H]4O[C@H](CO)[C@H](O)C5=C4SC[C@]4(C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO)O4)O5)nn3)cc(c1OCCC)Cc1cc(CCCn3cc(CCO[C@H]4O[C@H](CO)[C@H](O)C5=C4SC[C@]4(C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO)O4)O5)nn3)cc(c1OCCC)C2 | Serine/threonine-protein kinase AKT
1576964 C[C@@H](CCCc1cccc(O)c1)[C@H]1O[C@@]23C[C@H](OC(=O)C[C@H]([C@@H](C)O)OC(=O)C[C@](O)(O2)[C@H](C)CC3(C)C)[C@@H]1C | Protein kinase C beta
1582155 CC1=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]2(O)[C@H]1OC(=O)/C(C)=C\c1ccc(C)cc1)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1582157 CC1=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]2(O)[C@H]1OC(=O)C(C)C)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1582156 CCCC(=O)O[C@H]1C(C)=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]12O)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1582158 CCC(CC)C(=O)O[C@H]1C(C)=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]12O)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1582160 CC1=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]2(O)[C@H]1OC(=O)C1CCC1)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1582159 CC1=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]2(O)[C@H]1OC(=O)C1CC1)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1582161 CC1=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]2(O)[C@H]1OC(=O)C1CCCC1)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1582163 CC1=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]2(O)[C@H]1OC(=O)C1=CCCCC1)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1582162 CC1=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]2(O)[C@H]1OC(=O)C1CCCCC1)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1582164 CC1=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]2(O)[C@H]1OC(=O)c1ccccc1)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1582165 CC1=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]2(O)[C@H]1OC(=O)C1(C)CCCCC1)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1582166 CC1=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]2(O)[C@H]1OC(=O)C12C[C@@H]4C[C@H]1C[C@@H](C4)C2)[C@H]1[C@@H](C[C@H]3C)C1(C)C | Protein kinase C delta
1582167 CO/N=C(\C(=O)O[C@H]1C(C)=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]12O)[C@H]1[C@@H](C[C@H]3C)C1(C)C)c1ccccc1 | Protein kinase C delta
1582168 CO/N=C(/C(=O)O[C@H]1C(C)=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]12O)[C@H]1[C@@H](C[C@H]3C)C1(C)C)c1ccccc1 | Protein kinase C delta
